,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
0,Charli xcx - Guess featuring Billie Eilish (official video),Charli xcx,2024-08-01,4435755,412676,25373,0.09303399308573174,0.005720108527184211
1,Shelly-Ann Fraser-Pryce & Sha'Carri Richardson THROW DOWN  In Women's 100 Meters || 2024 Olympics,Total Running Productions,2024-08-02,1123376,6802,585,0.0060549628975516655,0.0005207517340587658
2,Team USA smashes WORLD RECORD by over a FULL SECOND in mixed 4x400 relay heat | Paris Olympics,NBC Sports,2024-08-02,2264540,35252,2114,0.015566958410979713,0.000933522922977735
3,Nessa Barrett - PASSENGER PRINCESS (Official Music Video),Nessa Barrett,2024-08-01,1061921,42407,2068,0.039934232395818524,0.0019474141673438985
4,Houston Texans vs. Chicago Bears Highlights | 2024 Hall of Fame Game,NFL,2024-08-02,658796,9459,1423,0.01435801067401745,0.002160000971469165
5,Jordan Adetunji - KEHLANI REMIX (feat. Kehlani) [Official Video],Jordan Adetunji,2024-08-02,472586,48858,1846,0.10338435755608504,0.003906167343086761
6,Unstoppable Simone Biles Wins 6th Gold Medal With Spectacular Floor Routine! | Paris Olympics,Peacock,2024-08-01,1009808,11404,731,0.01129323594188202,0.0007238999889087826
7,The LOX: Tiny Desk Concert,NPR Music,2024-08-02,494837,40140,4597,0.08111762054979721,0.009289927794405026
8,Jelly Roll - Liar (Official Music Video),Jelly Roll,2024-08-02,265230,21510,1321,0.08109942314217848,0.004980582890321608
9,MURDER DRONES Series Finale [TRAILER],GLITCH,2024-08-02,1572724,194615,21527,0.1237438991202525,0.013687716344380832
10,I Collected EVERY NEW WOLF in Minecraft Hardcore,aCookieGod,2024-08-02,1016413,45196,3895,0.04446617664276234,0.0038321036822630172
11,INCURSIONS // Official Console Cinematic Trailer - VALORANT,VALORANT,2024-08-02,974046,72086,2945,0.07400677175410607,0.0030234711707660625
12,Chad Smith Hears Bring Me The Horizon For The First Time,Drumeo,2024-08-02,756521,46294,3650,0.06119327817734075,0.004824717357482476
13,Tay B x Lil Baby - ALL TEN (Official Music Video),Tay B,2024-08-02,292620,10691,548,0.03653543845260064,0.0018727359715672203
14,NoCap - Maliboo [Official Music Video],NoCap,2024-08-02,211758,17549,977,0.08287290208634385,0.004613757213422869
15,It's Clash Anime Season! Happy 12th Clashiversary!,Clash of Clans,2024-08-01,4901542,158693,6807,0.032376137958218046,0.0013887466434032393
16,"Jessie Murph, Teddy Swims - Dirty (Official Video)",JessieMurphVEVO,2024-08-02,170733,9447,471,0.05533200962906995,0.002758693398464269
17,NBA 2K25 | Official Gameplay Trailer,NBA 2K,2024-08-01,392612,9859,1546,0.025111305818467086,0.003937729870712052
18,Polo G - We Uh Shoot (feat. Lil Durk) (Official Lyric Video),Polo G,2024-08-02,185593,23398,2068,0.1260715651991185,0.011142661630557186
19,Brawl Stars Animation: PAINT BRAWL STARTS NOW!,Brawl Stars,2024-08-01,5642483,184500,10987,0.03269837055778458,0.001947192397389589
20,FLO - Check,FloLikeThisVEVO,2024-08-02,249095,36491,1789,0.1464943094000281,0.007181998835785543
21,Tech Products That Should Not Exist,Danny Gonzalez,2024-07-31,3018569,201953,10735,0.06690355595648137,0.003556320892449369
22,A$AP ROCKY - HIGHJACK (Audio),ASAPROCKYUPTOWN,2024-08-02,281691,28778,1999,0.10216158840715536,0.007096428355893514
23,Why I Left Donut,Speeed,2024-08-01,260854,40708,4838,0.15605664471313455,0.01854677329080635
24,HELLUVA SHORTS 2 // MISSION: ANTARCTICA // HELLUVA BOSS,Vivziepop,2024-07-31,3451928,403506,19149,0.11689293635324954,0.005547334706865265
25,"Sha'Carri Richardson arrives, STORMS through 100m heat in Paris Olympics debut | NBC Sports",NBC Sports,2024-08-02,1349776,23666,1672,0.01753327959602186,0.0012387240549543036
26,A Star Is About to Explode (And You'll Be Able to See It),StarTalk,2024-08-01,1444393,52983,3074,0.03668184489955296,0.0021282296438711627
27,Billy Strings - Leadfoot (Official Music Video),Billy Strings,2024-08-02,210483,9422,747,0.04476371013335994,0.0035489802026767007
28,"LOVE ISLAND'S KAYLOR, AARON, AND ROB GET GRILLED BY DAVE PORTNOY — BFFs EP. 186","BFFs: Dave Portnoy, Josh Richards & Bri Chickenfry",2024-08-01,387137,6586,1169,0.017012065496193853,0.0030196028796007613
29,I was New York's Cheeseball Man,Anthony Po,2024-08-01,543953,68263,4254,0.12549429822061833,0.00782052861184698
30,Simone Biles REGAINS women’s gymnastics individual all-around gold medal | Paris Olympics,NBC Sports,2024-08-02,1231676,16968,935,0.013776350273935678,0.0007591282122895956
31,Apex Legends: Shockwave Gameplay Trailer,Apex Legends,2024-08-01,589641,25003,1906,0.042403767716288385,0.003232475353647389
32,Explained: Boxing gender controversy as Angela Carini abandons Olympic bout after 46 seconds,Sky Sports News,2024-08-01,1003291,2797,0,0.002787825267046151,0.0
33,I PROPOSED TO THE LOVE OF MY LIFE IN THE BAHAMAS!,Jalessa & Jaden,2024-08-01,330794,27575,3476,0.08336003676003798,0.010508050327394089
34,Can I Get Earnings Using MEME STRATS?,More Lachlan,2024-08-01,352630,9131,502,0.025893996540283015,0.0014235884638289424
35,OFFLINETV BLOWS glASS,OfflineTV,2024-08-01,539795,30502,934,0.056506636778777125,0.0017302864976518864
36,Taking my siblings BACK TO SCHOOL shopping,Nathaly Cuevas,2024-08-01,242554,11421,629,0.04708642199262845,0.002593236969911855
37,Deadpool & Wolverine Pitch Meeting,Pitch Meeting,2024-08-01,701625,61047,3961,0.0870080171031534,0.005645465882772136
38,I'M LAUNCHING A NEW GAME,Shroud,2024-08-01,455273,19543,1973,0.04292589281595877,0.004333663538140852
39,Is this my Fault?,Linus Tech Tips,2024-08-01,1648662,77740,7441,0.04715338862665604,0.004513356891831073
40,EVERYTHING GOES WRONG | Off Grid In The Mountains,Life Uncontained,2024-08-01,228989,26020,942,0.11362991235386853,0.004113734720881789
41,Something Is Wrong With The 2024 MLB Season,Baseball Doesn't Exist,2024-07-31,526384,15156,1268,0.028792668470166267,0.002408887808140065
42,Daily Driving My Tank After Giving it a 1000HP Engine,Westen Champlin,2024-07-31,708484,29745,887,0.04198401093038093,0.0012519689929483234
43,Everything Wrong with AI,gabi belle,2024-07-31,553086,39379,3979,0.07119869242757908,0.007194179567011278
44,“Mask Girl” Actress Married A Chaebol Then Lost EVERYTHING,Stephanie Soo,2024-07-31,500347,23680,1395,0.0473271549544616,0.0027880650828325144
45,Cheap vs. Expensive Jet Skis,CboysTV,2024-08-02,1144149,38343,2319,0.033512243597643314,0.0020268339176103814
46,I try every art form,Brittany Broski,2024-07-31,577716,37813,1939,0.06545257531382202,0.003356320406566548
47,Vince Vaughn Catches a Hot Streak While Eating Spicy Wings | Hot Ones,First We Feast,2024-08-01,2198907,86359,7793,0.039273602749002115,0.0035440334675363714
48,I made 1 guy fight ALL of Twitch Chat in TABS,DougDoug,2024-07-30,1548079,81428,2792,0.05259938284803295,0.0018035255306738222
49,"Every Time You Score, the Angle Gets Tighter",Chris Dixon,2024-08-01,560192,20942,313,0.03738361133325717,0.0005587370044556153
50,Arcadion M1S Guide - AAC Light-Heavyweight M1 Savage (Black Cat),Hector Hectorson - Hector Lectures,2024-07-31,232862,4659,361,0.02000755812455446,0.0015502744114539943
51,BoyWithUke - Ghost (Official Music Video),BoyWithUke,2024-08-01,248178,29317,5492,0.11812892359516154,0.022129278179371256
52,Introducing The Wizarding World of Harry Potter™ - Ministry of Magic™,Universal Orlando Resort,2024-07-31,510968,12677,1047,0.024809772823347058,0.002049051995428285
53,DOORS: FLOOR 2 FULL TRAILER,LSPLASH,2024-07-31,1914262,108443,19622,0.05665003014216445,0.010250425490345627
54,"La Cracka x Foolio - ""50K"" (Official Music Video)",La Cracka,2024-07-30,533388,29301,3352,0.05493374429121015,0.006284355853525014
55,NRL 2024 | Broncos v Bulldogs | Match Highlights,NRL - National Rugby League,2024-07-27,247622,2822,567,0.011396402581353838,0.0022897803910799527
56,Squid Game: Season 2 | Date Announcement | Netflix,Netflix,2024-07-31,3421530,121423,5554,0.03548792499262026,0.0016232504172110137
57,We Hosted a Bed Wars Tournament!,PWR,2024-08-02,261592,8999,559,0.034400899110064526,0.0021369155020031193
58,Hermitcraft 10: Episode 22 - MACES & BASES,Grian,2024-07-30,1131112,76525,3946,0.06765466196097292,0.0034886023665207334
59,Minecraft Hermitcraft :: I'm Not Good at 1.21,BdoubleO100,2024-07-31,230712,19497,664,0.08450795797357745,0.002878047089011408
60,Chelsea 3-0 Club America | HIGHLIGHTS | Chelsea FC USA Tour 2024,Chelsea Football Club,2024-08-01,1054292,20969,852,0.019889176812495968,0.0008081252632098128
61,Champions 2024 Skin Reveal Trailer // VALORANT,VALORANT,2024-07-31,628046,27683,1174,0.0440779815491222,0.0018692898290889521
62,Donald Trump speaks for the 1st time on the assassination attempt,FOX 9 Minneapolis-St. Paul,2024-07-19,9925211,205909,25964,0.020746057690864204,0.0026159645371770937
63,[BLACKSWAN] ‘Roll Up’ Official Music Video,Blackswan Official,2024-07-31,810592,116787,19881,0.14407618135880937,0.024526518889897753
64,BABY FOOD PRANK ON KAED !!,B N S,2024-07-31,188935,7664,358,0.040564215206287876,0.0018948315558260777
65,GORDO x Drake - Healing (Official Music Video),GORDO,2024-07-31,862804,76920,7142,0.08915118613265585,0.008277662134157931
