,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
0,The funniest product placement I've ever seen (w/ Danny Gonzalez),Drew Gooden,2024-08-06,1409645,117757,5793,0.08353663511025826,0.004109545311053492
1,Five Nights at Freddy's: Secret of the Mimic - Teaser Debut,Steel Wool Studios,2024-08-06,516763,59850,5353,0.11581711538945319,0.01035871376240172
2,A.I. ‐ Humanity's Final Invention?,Kurzgesagt – In a Nutshell,2024-08-06,1898419,107079,9511,0.05640430273822586,0.005009958286342478
3,Dead by Daylight | Castlevania | Official Trailer,Dead by Daylight,2024-08-06,638115,34869,2337,0.0546437554359324,0.0036623492630638676
4,fortnite added a NEW MINIGUN!,McCreamy,2024-08-06,925286,14675,1019,0.01585996113634055,0.0011012811174058615
5,American Cole Hocker pulls off a STUNNER in men's 1500m Olympic final | Paris Olympics | NBC Sports,NBC Sports,2024-08-06,1555969,21146,3043,0.013590245049869245,0.001955694490057321
6,Gabby Thomas brings FORCE AND POWER in 200m gold medal run | Paris Olympics | NBC Sports,NBC Sports,2024-08-06,817816,11608,1307,0.01419390180676338,0.0015981589990902599
7,Team USA is ON TO THE SEMIS in men's basketball after blasting Brazil | Paris Olympics | NBC Sports,NBC Sports,2024-08-06,907191,13182,1312,0.014530567432877972,0.0014462224603198225
8,Cooking on the American Homefront During WWII,Tasting History with Max Miller,2024-08-06,519398,36122,4464,0.06954589736579656,0.008594565246689436
9,They Added DRACULA To Dead by Daylight!,Ayrun,2024-08-06,269019,11725,874,0.04358428215107483,0.003248841159918073
10,Where We Fallin’? - Launch Trailer,Fortnite,2024-08-06,685658,19105,1476,0.027863745482441683,0.002152676698879033
11,How French Drains Work,Practical Engineering,2024-08-06,540306,28476,1020,0.05270346803478029,0.0018878191247182151
12,SIZZILIN HOT Helluva Boss + Hazbin Hotel Summer,Vivziepop,2024-08-06,542124,44842,2309,0.08271539352620434,0.004259173178092097
13,"Survive 100 Days In Nuclear Bunker, Win $500,000",MrBeast,2024-08-03,112196938,4154421,83665,0.0370279356465147,0.0007456977123564638
14,SIDEMEN AMONG US: PHANTOM & MYSTIC ROLES,MoreSidemen,2024-08-05,3017355,153851,4007,0.050988697054208075,0.0013279842776206313
