,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
0,"Survive 100 Days In Nuclear Bunker, Win $500,000",MrBeast,2024-08-03,78923426,3390589,80462,0.04296048932290395,0.0010194945161148986
1,Roman Reigns rocks the WWE Universe with SummerSlam return: SummerSlam 2024 highlights,WWE,2024-08-04,2466607,105361,9786,0.0427149521589779,0.00396739326532358
2,The Joy of Creation: Part 1,Markiplier,2024-08-04,1860379,146468,7233,0.07873019422386514,0.0038879174619795213
3,FEEDING STARVING INFLUENCERS FT. THE STURNIOLO TRIPLETS,Quenlin Blackwell,2024-08-03,880193,90776,4056,0.1031319267478837,0.004608080273303696
4,I Stayed in MrBeast's Nuclear Bunker,Ryan Trahan,2024-08-03,2707607,125154,8154,0.04622310401768056,0.0030115153343893706
5,Building A Secret Base For My Friends,rekrap2,2024-08-04,553140,32882,2929,0.05944607151896446,0.0052952236323534725
6,Terence Crawford Full Post Fight Press Conference vs Israil Madrimov,Fight Hub TV,2024-08-04,299368,5489,2288,0.018335293017289755,0.0076427674300526445
7,Clairo - Juna (Official Video),Claire Cottrill,2024-08-04,136361,27755,1737,0.20354060178496786,0.012738246272761274
8,Garp's Galaxy Impact | One Piece,Crunchyroll,2024-08-04,473445,25188,2102,0.0532015334410544,0.0044397976533705075
9,"1 Week Fishing, Camping, & Hiking Adventure ( I Flew a Family of 10 to Alaska)",Outdoor Boys,2024-08-03,1608324,61552,0,0.03827089566530127,0.0
10,HIGHLIGHTS | REAL MADRID 1 vs 2 FC BARCELONA | USA TOUR 2024,FC Barcelona,2024-08-04,4394940,117697,4113,0.026780115314429778,0.000935848953569332
11,The Hermitcraft SHOP PURGE!  -   Hermitcraft  Episode 22,GoodTimesWithScar,2024-08-04,174786,18310,1158,0.10475667387548201,0.006625244584806563
12,What REALLY Happened To Shelly-Ann Fraser-Pryce,Total Running Productions,2024-08-04,1036769,9936,1278,0.009583619880609856,0.0012326757455132242
13,Why Walgreens And CVS Are Shutting Down Thousands Of Stores,CNBC,2024-08-04,205221,3872,883,0.018867464830597258,0.004302678575779282
14,surviving a nuke by flipping a coin,TheRussianBadger,2024-08-02,2194241,173829,11534,0.07922055963770616,0.005256487322951308
15,Olympics 2024: Pole Vaulter Anthony Ammirati’s Manhood Eliminates Him From Games,E! News,2024-08-04,547614,1286,247,0.0023483694719273066,0.00045104763574342513
16,World's Most Impossible Trickshots,Airrack,2024-08-03,773121,37759,1241,0.048839702970168965,0.0016051821125024413
17,They Repossessed the Equipment! And I'm Happy about it,Outdoors With The Morgans,2024-08-04,117324,10892,373,0.09283693021035765,0.0031792301660359345
18,My Dog was a MENACE to Society,Let Me Explain Studios,2024-08-03,659756,71463,5383,0.1083173173112484,0.00815907699210011
19,Americans told to leave Lebanon immediately,We Are Iowa Local 5 News,2024-08-04,355203,1477,911,0.004158185600909903,0.0025647305906763176
20,I Built a River Table for Real Fish,John Malecki,2024-08-04,160535,6904,436,0.04300619802535273,0.0027159186470240133
21,Will this BIG BLOCK Chrysler RUN & DRIVE After 35 YEARS??,Junkyard Digs,2024-08-03,225690,20380,1352,0.09030085515530152,0.005990517967123045
22,Triple H Comments On Jacob Fatu Injury During WWE SummerSlam Main Event,WrestlingNewsCo,2024-08-04,149651,1253,262,0.008372814080761237,0.0017507400551950872
23,Shootout Thrill: India vs Great Britain | #FIHProLeague | #Hockey,International Hockey Federation (FIH),2024-08-04,454328,4866,222,0.01071032381891497,0.0004886337623919283
24,Spoit Vs STOMPN 1v1 REMATCH,Spoit,2024-08-03,244825,9685,998,0.03955886857959767,0.004076381088532625
25,Terence Crawford vs Israil Madrimov | Fight Highlights | Riyadh Season,Sports On Prime,2024-08-04,146822,1608,356,0.0109520371606435,0.002424704744520576
26,Charli xcx - Guess featuring Billie Eilish (official video),Charli xcx,2024-08-01,6366737,494227,27186,0.07762641993850225,0.004270005184759477
27,This Hurricane Will Surprise People…,"Ryan Hall, Y'all",2024-08-04,338079,22893,829,0.06771494236554178,0.0024520896003596792
28,Put a Dollar Store book bin in your kitchen cabinet (this is BRILLIANT!),Hometalk,2024-08-03,437319,0,174,0.0,0.00039787889389667494
29,"Julien Alfred Wins 100m Gold In 10.72 For St. Lucia, Sha'Carri Richardson Silver | Press Conference",CITIUS MAG,2024-08-03,445988,4077,1380,0.009141501565064531,0.0030942536570490687
30,"Sha'Carri Richardson finds her gear, joins Julien Alfred in 100m final | Paris Olympics | NBC Sports",NBC Sports,2024-08-03,1473858,12524,1999,0.008497426482062722,0.0013563043386812027
31,I TESTED SCIENCE in LEGO,Mr. Bricks,2024-08-03,404966,4002,196,0.009882311107599157,0.00048399124864803464
32,Team USA DISMANTLES Puerto Rico in final men's basketball group game | Paris Olympics | NBC Sports,NBC Sports,2024-08-03,1873021,26070,2839,0.013918690714092368,0.0015157331391372547
33,지민 (Jimin) 'Rebirth + Slow Dance (feat. Sofia Carson)' Live Clip,BANGTANTV,2024-08-04,1568615,412958,29664,0.26326281464859125,0.018910950105666464
34,Jordan Adetunji - KEHLANI REMIX (feat. Kehlani) [Official Video],Jordan Adetunji,2024-08-02,1023001,79450,2557,0.07766365819779257,0.002499508798134117
35,Julien Alfred BEATS Sha'Carri Richardson to win 100m; USA's Jefferson gets bronze | Paris Olympics,NBC Sports,2024-08-03,733143,6609,2319,0.00901461242895315,0.0031630936938632707
36,"Decision 2024 | Trump cancels ABC debate with Harris, pitches one for Fox News",WCNC,2024-08-04,429706,3364,5604,0.007828608397369364,0.013041474868863827
37,Shelly-Ann Fraser-Pryce & Sha'Carri Richardson THROW DOWN  In Women's 100 Meters || 2024 Olympics,Total Running Productions,2024-08-02,1836233,8717,870,0.004747218898690961,0.00047379608143410996
38,MY BRAND NEW WIDE BODY LAMBORGHINI URUS,Duke Dennis,2024-08-03,1173652,98018,5094,0.08351538616216732,0.004340298487115432
39,Can You Beat DARK SOULS 1 With Only Fire Surge?,The Backlogs,2024-08-03,307742,21069,611,0.06846319319429912,0.0019854293531594647
40,I Trolled Shiny Hunters In Pokémon,Nokimon,2024-08-03,229449,10276,419,0.04478555147331215,0.001826113864083086
41,Full SummerSlam 2024 highlights,WWE,2024-08-04,1955326,51026,3055,0.026095904212392204,0.0015623993134648646
42,Nessa Barrett - PASSENGER PRINCESS (Official Music Video),Nessa Barrett,2024-08-01,1409334,50204,2266,0.035622499705534674,0.001607851651915018
43,Houston Texans vs. Chicago Bears Highlights | 2024 Hall of Fame Game,NFL,2024-08-02,806560,10598,1603,0.013139754017060107,0.001987452886332077
44,Jelly Roll - Liar (Official Music Video),Jelly Roll,2024-08-02,520520,32711,1839,0.06284292630446477,0.003533005456082379
45,I Admit... I Got Owned,Rick Beato,2024-08-02,1370394,84886,5909,0.06194276974359199,0.0043118986218561965
46,"15 Years on YouTube & Big Family BBQ! Ft Marcus, Joe, Caspar, Jim & Tanya",Alfie Deyes Vlogs,2024-08-04,137867,8157,205,0.059165717684435,0.0014869403120398646
47,I Bought a Cheap Semi at the Auction. (How bad can it be?),Diesel Creek,2024-08-02,525118,75236,2899,0.14327446402522862,0.005520663926964987
48,David Beckham Beach Kicks DEBUNK,Captain Disillusion,2024-08-02,865822,103888,5122,0.11998771109997206,0.005915765596161798
49,Chad Smith Hears Bring Me The Horizon For The First Time,Drumeo,2024-08-02,1324943,68740,4999,0.051881477165432774,0.0037729924985452205
