,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
0,The funniest product placement I've ever seen (w/ Danny Gonzalez),Drew Gooden,2024-08-06,1408730,117556,5787,0.08344821221951687,0.004107955392445678
1,Five Nights at Freddy's: Secret of the Mimic - Teaser Debut,Steel Wool Studios,2024-08-06,516737,59800,5349,0.11572618179073688,0.010351494086933971
2,A.I. ‐ Humanity's Final Invention?,Kurzgesagt – In a Nutshell,2024-08-06,1898012,106935,9498,0.05634052893237767,0.005004183324446842
3,Dead by Daylight | Castlevania | Official Trailer,Dead by Daylight,2024-08-06,638050,34854,2334,0.054625813024057675,0.003658020531306324
4,fortnite added a NEW MINIGUN!,McCreamy,2024-08-06,925212,14660,1017,0.015845017142017182,0.001099207532976226
5,American Cole Hocker pulls off a STUNNER in men's 1500m Olympic final | Paris Olympics | NBC Sports,NBC Sports,2024-08-06,1555936,21132,3042,0.013581535487320814,0.0019550932686177324
6,Gabby Thomas brings FORCE AND POWER in 200m gold medal run | Paris Olympics | NBC Sports,NBC Sports,2024-08-06,817769,11595,1306,0.014178820669406641,0.0015970280115778417
7,Team USA is ON TO THE SEMIS in men's basketball after blasting Brazil | Paris Olympics | NBC Sports,NBC Sports,2024-08-06,906977,13153,1310,0.01450202155071187,0.0014443585669757888
8,Cooking on the American Homefront During WWII,Tasting History with Max Miller,2024-08-06,519292,36077,4457,0.06947343691025473,0.008582839712531678
9,They Added DRACULA To Dead by Daylight!,Ayrun,2024-08-06,269010,11719,873,0.04356343630348314,0.003245232519237203
10,Where We Fallin’? - Launch Trailer,Fortnite,2024-08-06,685458,19098,1474,0.027861663296657124,0.0021503870404897163
11,How French Drains Work,Practical Engineering,2024-08-06,540254,28448,1016,0.05265671332373291,0.0018805969044190325
12,SIZZILIN HOT Helluva Boss + Hazbin Hotel Summer,Vivziepop,2024-08-06,542087,44783,2309,0.08261220062462299,0.00425946388679308
13,"Survive 100 Days In Nuclear Bunker, Win $500,000",MrBeast,2024-08-03,112188863,4153629,83660,0.03702354127610688,0.0007457068176187863
14,SIDEMEN AMONG US: PHANTOM & MYSTIC ROLES,MoreSidemen,2024-08-05,3016708,153780,4005,0.05097609712308914,0.001327606118987983
15,I let my stream buy ANYTHING on Temu...,Crispy Concords,2024-08-05,447046,23945,1616,0.05356272061488079,0.003614840530952072
16,Chuttamalle | Devara Second Single | NTR | Janhvi Kapoor | Anirudh Ravichander | Shilpa Rao | 27 Sep,T-Series Telugu,2024-08-05,24413974,560189,25007,0.022945424616246417,0.0010242904330118481
17,Twins Swap Birthday Gift Exchange - Merrell Twins,merrelltwins,2024-08-06,183024,11522,1310,0.06295349243815018,0.007157531252731882
18,The Legend of Zelda: Echoes of Wisdom – Traversing Hyrule Trailer – Nintendo Switch,Nintendo of America,2024-08-05,1490146,76237,7523,0.05116075874444517,0.0050484986034925435
19,I Built 5 EXTREME LEGO Builds With My Mom!,ZHC Crafts,2024-08-06,442099,15762,1415,0.03565264793632195,0.003200640580503462
20,Hunters vs VENOM in Minecraft!,Cash,2024-08-06,513470,9391,853,0.01828928661849767,0.001661246031900598
21,Unprepared certainty…,The Weeknd,2024-08-06,546139,65149,4167,0.11929014408419834,0.0076299257148821084
22,We Played DRESS TO IMPRESS Roblox!,Kalogeras Sisters ,2024-08-05,1135734,52169,6029,0.04593417120558159,0.005308461312243888
23,I Spent 100 Days in a Fungal Outbreak in Hardcore Minecraft... Here's What Happened,Forge Labs,2024-08-04,1511084,37434,2858,0.02477294445576818,0.00189135746258977
24,Who Is Tim Walz? Why Harris Picked Minnesota Governor as VP Running Mate | WSJ,The Wall Street Journal,2024-08-06,1112680,20509,4233,0.01843207391163677,0.003804328288456699
25,Madden 25 | Gameplay First Look,EA SPORTS MADDEN NFL,2024-08-05,289887,7030,1875,0.02425082877121085,0.006468037545664345
26,"CASTLEVANIA CHAPTER ""THE DARK LORD"" & ""TREVOR BELMONT"" Power & Perk Breakdown! | Dead By Daylight",The King,2024-08-06,44020,1198,206,0.02721490231712858,0.0046796910495229445
27,The Joy of Creation: Part 1,Markiplier,2024-08-04,3750009,222795,8655,0.059411857411542215,0.002307994460813294
28,"Hurricane Debby Flooded Our Racetrack Badly, Track Entrance Destroyed",Cleetus McFarland,2024-08-05,1524640,80715,5314,0.052940366250393535,0.0034854129499422813
29,Power Book II: Ghost | The Final Episodes Official Trailer | Season 4,STARZ,2024-08-05,554713,3394,783,0.006118479285684669,0.0014115407426903643
30,Men's 100 Meter Finals Were HISTORIC || Noah Lyles VS. Kishane Thompson - Paris Olympics 2024,Total Running Productions,2024-08-04,2582760,13932,2312,0.0053942294289829485,0.0008951664111260822
31,WE GOT REMARRIED ❤️,The Prince Family,2024-08-05,260391,10884,900,0.04179867967786905,0.0034563406569351474
32,What Would Happen if the Three Gorges Dam Failed?,Megaprojects,2024-08-05,323664,12491,1342,0.038592490978298484,0.004146275149537792
33,Bully Beatdown: The TV Show That Fought Your Bullies,Kurtis Conner,2024-08-04,1127337,87735,3467,0.07782499820373145,0.0030753891693433284
