,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
0,Charli xcx - Guess featuring Billie Eilish (official video),Charli xcx,2024-08-01,4930566,430759,25926,0.0873650205676184,0.005258219847376549
1,Shelly-Ann Fraser-Pryce & Sha'Carri Richardson THROW DOWN  In Women's 100 Meters || 2024 Olympics,Total Running Productions,2024-08-02,1457682,7840,774,0.00537840214806796,0.0005309800079852807
2,Highlights & Goles: Argentina vs Francia 0-1 en Cuartos de Final | Juegos Olímpicos París 2024,Telemundo Deportes,2024-08-02,151917,1177,1296,0.007747651678219027,0.008530974150358419
3,Jordan Adetunji - KEHLANI REMIX (feat. Kehlani) [Official Video],Jordan Adetunji,2024-08-02,598036,55698,2070,0.09313486144646811,0.003461330087151944
4,Nessa Barrett - PASSENGER PRINCESS (Official Music Video),Nessa Barrett,2024-08-01,1137531,43786,2118,0.03849213779668422,0.001861927279344475
5,Houston Texans vs. Chicago Bears Highlights | 2024 Hall of Fame Game,NFL,2024-08-02,696134,9827,1473,0.014116535034921437,0.0021159719249454847
6,Unstoppable Simone Biles Wins 6th Gold Medal With Spectacular Floor Routine! | Paris Olympics,Peacock,2024-08-01,1042936,11670,751,0.011189564843863862,0.000720082536224658
7,I Admit... I Got Owned,Rick Beato,2024-08-02,983563,69003,4984,0.07015615674847468,0.005067291063205916
8,Jelly Roll - Liar (Official Music Video),Jelly Roll,2024-08-02,321947,23963,1460,0.07443150580685641,0.004534907919626522
9,The LOX: Tiny Desk Concert,NPR Music,2024-08-02,551876,43037,4822,0.07798309765237119,0.008737470011379369
10,"B.G.  -  ""HANDS UP"" (official Music Video)",B.G.,2024-08-02,209721,16375,2785,0.07807992523400137,0.013279547589416416
11,Team USA smashes WORLD RECORD by over a FULL SECOND in mixed 4x400 relay heat | Paris Olympics,NBC Sports,2024-08-02,2528909,38289,2277,0.015140521070548604,0.0009003882701987299
12,I Bought a Cheap Semi at the Auction. (How bad can it be?),Diesel Creek,2024-08-02,420790,67134,2706,0.1595427647995437,0.006430761187290573
13,MURDER DRONES Series Finale [TRAILER],GLITCH,2024-08-02,1754367,204519,22439,0.11657709019834504,0.012790368263880933
14,David Beckham Beach Kicks DEBUNK,Captain Disillusion,2024-08-02,581389,80491,4264,0.1384460318306676,0.007334160089028172
15,I Collected EVERY NEW WOLF in Minecraft Hardcore,aCookieGod,2024-08-02,1111653,47056,3997,0.04232975577810702,0.003595546451995362
16,INCURSIONS // Official Console Cinematic Trailer - VALORANT,VALORANT,2024-08-02,1056513,75030,3041,0.07101663680427973,0.0028783365656645968
17,Chad Smith Hears Bring Me The Horizon For The First Time,Drumeo,2024-08-02,874727,51204,3970,0.058537120724523196,0.004538558887515762
18,Papa Roach & Carrie Underwood - Leave A Light On (Talk Away The Dark),Papa Roach,2024-08-02,233820,11154,559,0.04770336156017449,0.0023907279103583955
19,Tay B x Lil Baby - ALL TEN (Official Music Video),Tay B,2024-08-02,328858,11389,577,0.034631968813287194,0.0017545566779582676
20,NoCap - Maliboo [Official Music Video],NoCap,2024-08-02,234218,18378,1004,0.07846536133004295,0.004286604786993314
21,"Jessie Murph, Teddy Swims - Dirty (Official Video)",JessieMurphVEVO,2024-08-02,202161,10342,495,0.05115724595742997,0.002448543487616306
22,It's Clash Anime Season! Happy 12th Clashiversary!,Clash of Clans,2024-08-01,5008325,160790,6832,0.032104545931024846,0.0013641287256717565
23,NBA 2K25 | Official Gameplay Trailer,NBA 2K,2024-08-01,413613,10082,1556,0.024375442744788003,0.003761970731094042
24,Polo G - We Uh Shoot (feat. Lil Durk) (Official Lyric Video),Polo G,2024-08-02,200562,24317,2108,0.12124430350714492,0.010510465591687359
25,FLO - Check,FloLikeThisVEVO,2024-08-02,298095,40172,1899,0.13476240795719485,0.006370452372565793
26,A$AP ROCKY - HIGHJACK (Audio),ASAPROCKYUPTOWN,2024-08-02,314252,30619,2092,0.09743454297824676,0.006657077759250537
27,Brawl Stars Animation: PAINT BRAWL STARTS NOW!,Brawl Stars,2024-08-01,5892615,188650,11168,0.032014648844358576,0.0018952536352705887
28,"Sha'Carri Richardson arrives, STORMS through 100m heat in Paris Olympics debut | NBC Sports",NBC Sports,2024-08-02,1451694,24978,1759,0.017206105418910596,0.001211687862593632
29,Why I Left Donut,Speeed,2024-08-01,278765,42960,5056,0.1541082991049809,0.01813714060229943
30,Tech Products That Should Not Exist,Danny Gonzalez,2024-07-31,3149504,208300,10999,0.06613739814269168,0.003492295929771799
31,HELLUVA SHORTS 2 // MISSION: ANTARCTICA // HELLUVA BOSS,Vivziepop,2024-07-31,3538613,409724,19317,0.11578660904710406,0.005458918508466453
32,Billy Strings - Leadfoot (Official Music Video),Billy Strings,2024-08-02,246630,10529,811,0.04269148116611929,0.0032883266431496575
33,A Star Is About to Explode (And You'll Be Able to See It),StarTalk,2024-08-01,1626064,58042,3309,0.035694782001200444,0.0020349752531265684
34,Simone Biles REGAINS women’s gymnastics individual all-around gold medal | Paris Olympics,NBC Sports,2024-08-02,1360003,18623,1036,0.013693352147017323,0.0007617630255227378
35,I was New York's Cheeseball Man,Anthony Po,2024-08-01,587253,72327,4373,0.12316156750157087,0.0074465349687443064
36,Can I Get Earnings Using MEME STRATS?,More Lachlan,2024-08-01,364183,9348,514,0.025668413956719562,0.001411378345502124
37,OFFLINETV CRAFT MOLTEN GLASS,OfflineTV,2024-08-01,556103,31160,957,0.05603278529337191,0.0017209042209806458
38,I PROPOSED TO THE LOVE OF MY LIFE IN THE BAHAMAS!,Jalessa & Jaden,2024-08-01,349868,28990,3616,0.0828598214183635,0.010335326465981455
39,Taking my siblings BACK TO SCHOOL shopping,Nathaly Cuevas,2024-08-01,252501,11772,634,0.046621597538227574,0.002510881145025168
40,Deadpool & Wolverine Pitch Meeting,Pitch Meeting,2024-08-01,727977,62616,4047,0.08601370647699035,0.005559241569445188
41,I'M LAUNCHING A NEW GAME,Shroud,2024-08-01,475668,20294,2035,0.04266421117249847,0.0042781940344946475
42,Is this my Fault?,Linus Tech Tips,2024-08-01,1706483,79437,7584,0.046550126781221966,0.004444228275347601
43,EVERYTHING GOES WRONG | Off Grid In The Mountains,Life Uncontained,2024-08-01,238271,26454,950,0.11102484146203273,0.003987056754703678
44,Cheap vs. Expensive Jet Skis,CboysTV,2024-08-02,1193217,39343,2358,0.03297220874325458,0.001976170302635648
45,Something Is Wrong With The 2024 MLB Season,Baseball Doesn't Exist,2024-07-31,546729,15544,1304,0.02843090452491088,0.0023850938947815098
46,Daily Driving My Tank After Giving it a 1000HP Engine,Westen Champlin,2024-07-31,737024,30510,910,0.04139620962139632,0.0012346952066689823
47,Everything Wrong with AI,gabi belle,2024-07-31,580994,40928,4135,0.07044478944705108,0.007117113085505186
48,“Mask Girl” Actress Married A Chaebol Then Lost EVERYTHING,Stephanie Soo,2024-07-31,520156,24280,1434,0.04667830420104738,0.0027568652481178724
49,I try every art form,Brittany Broski,2024-07-31,592222,38502,1960,0.06501278236877388,0.003309569722164999
50,Vince Vaughn Catches a Hot Streak While Eating Spicy Wings | Hot Ones,First We Feast,2024-08-01,2292354,88845,7986,0.038757102960537505,0.0034837551268259615
51,"Shaboozey, BigXthaPlug - Drink Don't Need No Mix (Official Video)",ShaboozeyVEVO,2024-07-31,1167229,16515,612,0.014148894518556342,0.0005243187069546764
52,Madden 25 | Franchise and Presentation Deep Dive,EA SPORTS MADDEN NFL,2024-07-31,257244,7489,1613,0.029112437996610223,0.006270311455272038
53,NRL 2024 | Broncos v Bulldogs | Match Highlights,NRL - National Rugby League,2024-07-27,247933,2822,567,0.011382107262849238,0.002286908156639092
54,I made 1 guy fight ALL of Twitch Chat in TABS,DougDoug,2024-07-30,1597258,83724,2844,0.052417330199629616,0.0017805514199960182
55,Jasmine Is Prepared To Expose Kirk's Texts 🫢📲 Love & Hip Hop: Atlanta,Love & Hip Hop,2024-07-31,273331,5138,2123,0.018797721443963546,0.007767139475580889
56,"Every Time You Score, the Angle Gets Tighter",Chris Dixon,2024-08-01,585085,21626,317,0.03696215079860191,0.0005418016185682423
57,Arcadion M1S Guide - AAC Light-Heavyweight M1 Savage (Black Cat),Hector Hectorson - Hector Lectures,2024-07-31,241490,4745,362,0.019648846743136363,0.0014990268748188331
